store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
freshco,flyer,,Mother's Magic Momos Duo Pack 700 g Tastie Spring Rolls 2.8 kg,Mother's Magic Momos Duo Pack 700 g Tastie Spring Rolls 2.8 kg,,10.0,each,,1.4285714285714286,100g,True,True
freshco,flyer,,Red Seedless Grapes Product of Peru No. 1 Grade 4.39/kg,Red Seedless Grapes Product of Peru No. 1 Grade 4.39/kg,,1.99,/lb,,1.99,,False,True
freshco,flyer,,Best Buy Ground Beef Chicken or Turkey Frozen 1.2-1.81kg,Best Buy Ground Beef Chicken or Turkey Frozen 1.2-1.81kg,,10.0,each,,10.0,,True,True
freshco,flyer,,Dr. Oetker Casa Di Mama or Ristorante Pizza 320-410 g Dr. Oetker Giuseppe Garlic Fingers 317 g,Dr. Oetker Casa Di Mama or Ristorante Pizza 320-410 g Dr. Oetker Giuseppe Garlic Fingers 317 g,,3.49,each,,1.0906250000000002,100g,True,True
freshco,flyer,,Coca-Cola or Pepsi Soft Drinks 12x355 mL Selected Varieties,Coca-Cola or Pepsi Soft Drinks 12x355 mL Selected Varieties,,6.29,each,,6.29,,True,True
freshco,flyer,,One Dozen 50 cm Long Stem Roses with Greens & Baby's Breath,One Dozen 50 cm Long Stem Roses with Greens & Baby's Breath,,19.99,each,,19.99,,True,True
freshco,flyer,,Ferrero Rocher T16 Chocolate Gift Box 200 g,Ferrero Rocher T16 Chocolate Gift Box 200 g,,7.99,each,,3.995,100g,True,True
freshco,flyer,,Janes Ultimates Chicken Wings Frozen 695-745 g,Janes Ultimates Chicken Wings Frozen 695-745 g,,6.99,with Scene+ Card,,1.0057553956834533,100g,False,True
freshco,flyer,,Compliments Medium Eggs 30 pk,Compliments Medium Eggs 30 pk,,5.99,with Scene+ Card,,0.1996666666666667,1ea,False,True
freshco,flyer,,Avocados 5 pk Product of Mexico,Avocados 5 pk Product of Mexico,,1.99,with Scene+ Card,,0.398,1ea,False,True
freshco,flyer,,"OKA Original, Aged and Mushrooms & Truffle","OKA Original, Aged and Mushrooms & Truffle",,6.29,each,,3.3105263157894735,100g,False,True
freshco,flyer,,FOLIO Cheese Wraps,FOLIO Cheese Wraps,,7.29,each,,4.288235294117647,100g,False,True
freshco,flyer,,AGROPUR Grand Cheddar,AGROPUR Grand Cheddar,,7.99,each,,0.6658333333333334,100g,True,True
freshco,flyer,,MONSIEUR GUSTAV Cheddar Cheese Extra Old White,MONSIEUR GUSTAV Cheddar Cheese Extra Old White,,6.49,each,,2.596,100g,False,True
freshco,flyer,,"MONSIEUR GUSTAV Cheddar Cheese Old, Old White, Medium, Mild Marble","MONSIEUR GUSTAV Cheddar Cheese Old, Old White, Medium, Mild Marble",,5.99,each,,2.3960000000000004,100g,False,True
freshco,flyer,,"MONSIEUR GUSTAV Gouda Cheese Smoked, Mild, Caraway, or Jalapeno","MONSIEUR GUSTAV Gouda Cheese Smoked, Mild, Caraway, or Jalapeno",,5.99,each,,3.523529411764706,100g,False,True
freshco,flyer,,Cosmic Crisp Apples Product of USA Extra Fancy Grade Ambrosia Apples Product of Ontario Canada Extra Fancy Grade 3.95/kg,Cosmic Crisp Apples Product of USA Extra Fancy Grade Ambrosia Apples Product of Ontario Canada Extra Fancy Grade 3.95/kg,,1.79,/lb,,1.79,,False,True
freshco,flyer,,Roma Tomatoes Product of Mexico No. 1 Grade 4.39/kg,Roma Tomatoes Product of Mexico No. 1 Grade 4.39/kg,,1.99,/lb,,1.99,,False,True
freshco,flyer,,Blueberries 170 g Product of Chile or Mexico No. 1 Grade Kiwi 600 g Product of Greece,Blueberries 170 g Product of Chile or Mexico No. 1 Grade Kiwi 600 g Product of Greece,,2.99,each,,1.7588235294117647,100g,True,True
freshco,flyer,,Stem & Leaf Clementines Product of Spain 5.49/kg,Stem & Leaf Clementines Product of Spain 5.49/kg,,2.49,/lb,,2.49,,False,True
freshco,flyer,,Asparagus Product or Mexico No. 1 Grade 8.80/kg,Asparagus Product or Mexico No. 1 Grade 8.80/kg,,3.99,/lb,,3.99,,False,True
freshco,flyer,,Iceberg Lettuce Product of USA No. 1 Grade,Iceberg Lettuce Product of USA No. 1 Grade,,2.49,each,,2.49,,True,True
freshco,flyer,,Green or Red Sweet Bell Peppers 4 pk Product of Mexico,Green or Red Sweet Bell Peppers 4 pk Product of Mexico,,4.49,each,,1.1225,1ea,True,True
freshco,flyer,,Lemons 2 lb Bag Product of Spain 907 g,Lemons 2 lb Bag Product of Spain 907 g,,3.99,each,,0.4398225718266637,100g,True,True
freshco,flyer,,"Compliments Yelow, White Red or Medley Mini Potatoes 680 g Product of Ontario Canada No. 1","Compliments Yelow, White Red or Medley Mini Potatoes 680 g Product of Ontario Canada No. 1",,3.99,each,,0.586764705882353,100g,True,True
freshco,flyer,,Taylor Farms Chopped Salad Kit 316-377g Assorted,Taylor Farms Chopped Salad Kit 316-377g Assorted,,4.99,each,,4.99,,True,True
freshco,flyer,,Fresh Chicken Leg Quarters Back Attached,Fresh Chicken Leg Quarters Back Attached,,10.0,each,,10.0,,True,True
freshco,flyer,,Fresh Tilapia Fillets 19.82/kg,Fresh Tilapia Fillets 19.82/kg,,8.99,/lb,,8.99,,False,True
